"ensembl_gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC100037768",NA,391.137609284315,0.609355211940259,0.86921930863377,0.701037362938977,0.483279698405602,0.999937202399348
"LOC100037774",NA,38.1082216642188,-1.05399135900846,1.08425403840688,-0.972088940113261,0.331006303810819,0.999937202399348
"LOC100037775",NA,305.697903854388,-0.0957265563939203,0.608967405280381,-0.157194877039184,0.875091265639643,0.999937202399348
"LOC100037776",NA,134.798190647318,-0.465788423834059,0.773539017208536,-0.602152462218319,0.547072655788718,0.999937202399348
"LOC100037782",NA,265.982276713419,-0.477124281858951,0.628644360574195,-0.758973295208045,0.44786853172862,0.999937202399348
"LOC100037783",NA,1302.43444726938,-0.93389591101601,0.74344547749296,-1.25617269764729,0.209053363244314,0.999937202399348
"LOC100037784",NA,1245.13835789017,0.115852350702396,0.578393781274277,0.200300131939798,0.841245859365565,0.999937202399348
"LOC100037785",NA,30.7379201721874,0.32904440536811,0.946853433356118,0.347513557828917,0.728205534765449,0.999937202399348
"LOC100037792",NA,1625.16154685455,0.740346583165334,0.647382884928501,1.14359925231434,0.252789871903492,0.999937202399348
"LOC100037793",NA,362.058836521313,-0.303568972223621,0.670438964171848,-0.452791362743364,0.650698983700064,0.999937202399348
"LOC100037794",NA,1561.06929857865,-0.350925094043601,0.561152246957366,-0.62536521228661,0.531731388621568,0.999937202399348
"LOC100037796",NA,5100.89580481384,-0.678789883840284,0.637936217634088,-1.06404036183697,0.287310415588977,0.999937202399348
"LOC100037797",NA,4700.54889335512,-1.26465066748398,0.805198583355576,-1.57060716899636,0.116273923725337,0.988485630984672
"LOC100037798",NA,987.158991389737,0.119094335482499,0.65194607465119,0.182675132366151,0.855052928906071,0.999937202399348
"LOC100037799",NA,332.584646432935,-1.60986966910163,0.718612450588383,-2.24024739313034,0.0250748664279334,0.540602326135095
"LOC100037800",NA,68.5961842474932,-0.151901753899759,1.03329641058128,-0.147006950129931,0.883126534514651,0.999937202399348
"LOC100037801",NA,583.351122652495,-0.818052257277793,0.654498469962939,-1.24989177946301,0.211339082771869,0.999937202399348
"LOC100037812",NA,2276.23491620517,-0.896710757834793,0.7863015996001,-1.14041578739105,0.254113118672745,0.999937202399348
"LOC100037813",NA,347.442555282897,-2.5733652508607,1.13752086000603,-2.26225763529915,0.0236814902351994,0.519526916079801
"LOC100037814",NA,1242.35139135748,-0.639253575424166,0.753621142962324,-0.848242623490361,0.396302864065915,0.999937202399348
"LOC100037815",NA,410.480061276671,0.429309324518592,0.694441118295971,0.61820838831093,0.536437981328875,0.999937202399348
"LOC100037818",NA,495.598424515513,0.242033125088285,0.588442184828601,0.411311648499136,0.680844029257818,0.999937202399348
"LOC100037819",NA,62.3932928348977,0.215558989867399,0.807958391170093,0.266794666932322,0.789627260645973,0.999937202399348
"LOC100037824",NA,6859.06572792732,0.989089397940848,0.635859976792912,1.55551447494702,0.119823589910818,0.999937202399348
"LOC100037826",NA,781.180097106407,-0.653496628076465,0.792882383556527,-0.824203742735665,0.409823800772326,0.999937202399348
"LOC100037827",NA,3518.0141974777,1.26013572128077,0.585709130540759,2.1514701676536,0.0314391080356341,0.599285128285336
"LOC100038320",NA,102.649122981536,0.245455966366837,0.683584845729382,0.35907169080809,0.719541458780408,0.999937202399348
"LOC100101510",NA,84.9533609841304,-0.194549294276814,1.00366057560565,-0.19383972929236,0.846301377477998,0.999937202399348
"LOC100101512",NA,32.7683287664971,0.880317870621991,1.41174074351426,0.623569075743049,0.532910624834643,0.999937202399348
"LOC100101513",NA,148.193072678595,1.64942281380278,0.740664568953569,2.22694980014114,0.0259506289938259,0.549392087681865
"LOC100101525",NA,409.570295733373,-0.674394870057684,0.667269005260706,-1.01067914850053,0.312170020100458,0.999937202399348
"LOC100101526",NA,150.58526012349,0.877583111771439,0.743462295756457,1.18040029303506,0.237841045465879,0.999937202399348
"LOC100101527",NA,3530.85839857882,0.0862845896642966,0.633438736771149,0.136216155810297,0.891650403719783,0.999937202399348
"LOC100101528",NA,832.479116955572,-0.570752917323006,0.748786423179528,-0.762237267737108,0.445918407097584,0.999937202399348
"LOC100101531",NA,8187.32965374934,-0.0339480976929493,0.65017887115724,-0.0522134741667716,0.958358596746534,0.999937202399348
"LOC100101532",NA,411.258611120209,0.15019481794532,0.604515979763158,0.248454669476503,0.803782639120173,0.999937202399348
"LOC100101537",NA,237.128046357949,0.0913714366327368,0.860661214301936,0.106164231772482,0.915452049433742,0.999937202399348
"LOC100101538",NA,878.894033085195,-0.905673429353051,0.875679183387397,-1.03425255108798,0.301018112600188,0.999937202399348
"LOC100101539",NA,633.322540716166,-1.08012569345152,1.14078564823506,-0.94682615890427,0.343727369741574,0.999937202399348
"LOC100101542",NA,220.563078875249,-0.102296582247684,0.819499986492163,-0.124828046289007,0.900659683320576,0.999937202399348
"LOC100101545",NA,90.1474967903141,0.0875305120906996,0.988407731121095,0.0885570896854669,0.92943391151079,0.999937202399348
"LOC100101546",NA,38.3683506646095,-0.585395612423635,1.07004923985653,-0.547073527665065,0.584328218362975,0.999937202399348
"LOC100101547",NA,1190.99101997304,-0.184924504777488,0.810360291675724,-0.228200353197326,0.819490486871346,0.999937202399348
"LOC100125638",NA,2440.20393959241,-0.18603846054214,1.08476898425815,-0.171500534438092,0.863830210247023,0.999937202399348
"LOC100125640",NA,21.5828035678656,-0.283561640988692,1.17372494371631,-0.241591219907846,0.809096926090719,0.999937202399348
"LOC100125644",NA,17.005297884276,-0.0998388571218346,1.53080010753684,-0.0652200484114691,0.947998798787458,0.999937202399348
"LOC100125646",NA,1906.01587207888,-0.351395393219574,0.576808771980975,-0.60920604936841,0.542387871098411,0.999937202399348
"LOC100125647",NA,998.211279146185,-0.240772347410102,0.56121797419107,-0.429017527026193,0.667910469624862,0.999937202399348
"LOC100125653",NA,316.92780635994,0.361354709524639,0.580108710593623,0.622908608207014,0.533344580893165,0.999937202399348
"LOC100125654",NA,1401.33193060183,0.7544915773245,0.618704589434313,1.21946982487125,0.222665922035751,0.999937202399348
"LOC100125655",NA,1619.94648213557,0.598506375739873,0.767194373980429,0.780123520242526,0.435318173416649,0.999937202399348
"LOC100125656",NA,180199.077083156,-1.668707494906,1.19560605931975,-1.3957000986223,0.162804824609375,0.999937202399348
"LOC100125658",NA,479.313316863745,-0.0190745363408496,0.614792412579801,-0.0310259787703118,0.975248821579977,0.999937202399348
"LOC100125659",NA,3134.89369005357,0.0654986691272977,0.753878549384135,0.0868822560090156,0.93076510383311,0.999937202399348
