"","c1","c2","m1","m2"
"LOC118472536",89,30,26,76
"LOC118472628",0,0,0,0
"LOC118472334",1,1,5,2
"LOC118472482",3,5,21,54
"LOC118472629",2,1,0,0
"LOC118472849",12,8,37,60
"LOC118472534",130,59,100,185
"LOC118472725",1,0,0,1
"LOC118472879",2,0,1,9
"LOC111590481",22,8,21,59
"LOC118472630",0,0,0,0
"LOC118472328",10,5,6,7
"LOC118472479",21,9,34,37
"LOC118472691",0,0,0,0
"LOC118472888",4,2,5,16
"LOC118472631",0,0,0,0
"LOC118472327",5,2,7,13
"LOC118472575",15,2,9,24
"LOC118472712",0,0,0,0
"LOC118472852",59,39,70,140
"LOC118472538",10,6,12,24
"LOC118472709",0,0,0,0
"LOC118472814",4,2,3,13
"LOC118472508",40,23,26,38
"LOC118472639",0,1,1,0
"LOC118472850",10,3,6,7
"LOC118472697",1,0,1,2
"LOC118472349",12,14,20,57
"LOC118472565",8,8,9,9
"LOC118472668",0,0,0,0
"LOC118472362",17,3,23,22
"LOC118472651",0,0,0,0
"LOC111590488",30,7,20,56
"LOC118472577",38,19,33,50
"LOC118472652",0,0,0,0
"LOC118472513",53,10,8,37
"LOC118472653",0,1,1,0
"LOC118472871",7,8,6,5
"LOC118472453",104,50,93,168
"LOC118472661",0,0,0,0
"LOC118472827",3,0,7,6
"LOC118472517",29,4,14,20
"LOC118472641",0,0,0,1
"LOC118472862",12,5,4,17
"LOC118472554",15,2,14,14
"LOC118472675",0,0,1,0
"LOC118472369",2,0,2,2
"LOC118472701",0,0,0,0
"LOC118472335",1,3,2,5
"LOC118472568",37,9,28,23
"LOC118472632",34,6,9,30
"LOC118472331",92,84,129,131
"LOC118472548",3,2,5,7
"LOC118472676",0,0,0,0
"LOC118472826",25,5,12,20
"LOC118472556",158,65,156,245
"LOC118472633",0,1,0,0
"LOC118472794",18,12,22,12
"LOC118472495",4,1,11,24
"LOC118472634",0,0,1,0
"LOC118472800",0,0,2,2
"LOC118472449",20,9,8,28
"LOC118472635",0,0,0,0
"LOC118472326",9,3,4,24
"LOC118472515",20,8,12,22
"LOC118472695",0,0,0,0
"LOC118472873",9,2,4,14
"LOC118472166",9,2,12,62
"LOC111589666",0,0,0,0
"LOC111589653",7,5,7,15
"LOC118472640",0,0,0,0
"LOC118472818",57,26,43,71
"LOC118472475",4,2,15,5
"LOC118472665",1,2,1,2
"LOC118472858",13,5,11,42
"LOC118472505",26,9,18,21
"LOC118472685",2,0,0,1
"LOC118472332",0,1,8,3
"LOC111589598",0,0,2,4
"LOC111589661",7,1,7,10
"LOC100216657",28,20,12,48
"LOC111589680",67,25,57,70
"LOC118472642",0,0,0,0
"LOC118472815",14,17,27,33
"LOC111589619",0,0,0,0
"LOC111589650",12,4,13,18
"LOC111589671",21,13,30,30
"LOC118472717",1,3,1,0
"LOC111589714",0,0,0,0
"LOC118472580",27,8,34,52
"LOC118472324",1,1,0,0
"LOC118472374",4,2,4,14
"LOC118472483",23,3,2,12
"LOC118472702",0,0,0,1
"LOC118472329",24,7,16,32
"LOC111589674",39,7,14,29
"LOC118472714",1,0,0,0
"LOC118472342",3,3,6,18
"LOC111590465",2,0,1,6
"LOC111590466",5,2,11,8
"LOC111590464",2,0,0,1
"LOC111590462",13,3,13,17
"LOC111590461",0,1,1,2
"LOC111590447",0,0,2,0
"LOC111590451",4,5,25,73
"LOC111590448",165,62,120,201
"LOC118472718",0,0,0,0
"LOC111590541",30,8,25,27
"LOC111590540",0,0,1,0
"LOC111590544",5,4,25,4
"LOC111590542",109,28,66,83
"LOC111590543",0,0,0,0
"LOC111590545",12,5,8,16
"LOC111589608",0,0,0,0
"LOC111589654",42,23,20,33
"LOC118472572",26,13,17,65
"LOC118472699",0,0,0,0
"LOC118472350",56,37,93,117
"LOC118472547",37,17,38,39
"LOC118472637",3,0,0,0
"LOC118472891",29,7,22,29
"LOC111590493",5,1,0,1
"LOC111590495",15,4,9,33
"LOC111590492",33,10,28,40
"LOC118472638",2,1,1,2
"LOC118472860",32,20,36,63
"LOC118472514",12,6,24,22
"LOC118472726",0,0,0,0
"LOC118472738",32,13,17,26
"LOC118472533",98,17,44,52
"LOC118472680",1,0,0,1
"LOC111590491",14,13,16,26
"LOC111590490",0,0,0,0
"LOC111590494",8,3,7,5
"LOC118472719",0,0,0,0
"LOC118472347",8,3,6,8
"LOC118472506",24,19,13,52
"LOC118472704",0,0,0,0
"LOC118472882",11,3,33,53
"LOC118472557",51,18,36,42
"LOC118472370",1,0,0,1
"LOC118472855",7,12,10,13
"LOC118472477",62,30,31,55
"LOC118472705",1,0,0,0
"LOC118472872",17,7,20,40
"LOC118472535",103,48,95,139
"LOC118472673",0,0,0,1
"LOC118472344",13,6,17,12
"LOC118472569",18,5,7,30
"LOC118472690",0,0,0,0
"LOC118472359",2,1,2,2
"LOC118472530",20,5,7,21
"LOC118472703",0,0,0,0
"LOC118472837",163,97,209,196
"LOC118472543",26,6,23,23
"LOC118472706",1,0,0,0
"LOC118472825",21,7,13,19
"LOC118472481",24,12,21,19
"LOC118472662",0,0,0,0
"LOC118472341",25,14,50,52
"LOC118472552",24,9,12,37
"LOC118472710",0,0,0,0
"LOC118472336",7,1,9,18
"LOC118472555",5,1,0,1
"LOC118472716",0,0,0,0
"LOC118472355",4,0,12,3
"LOC118472549",46,17,38,85
"LOC118472715",0,0,0,0
"LOC118472348",6,1,2,5
"LOC118472492",44,17,21,41
"LOC118472649",1,0,2,0
"LOC118472881",63,16,20,58
"LOC118472509",97,48,66,128
"LOC111589687",0,0,0,0
"LOC111589662",7,8,7,17
"LOC111589670",170,57,103,165
"LOC111589638",7,1,2,4
"LOC111589658",22,5,7,9
"LOC111589582",0,1,0,3
"LOC111589673",44,11,12,58
"LOC111589668",0,0,0,0
"LOC111589549",0,0,0,0
"LOC111589681",7,2,4,2
"LOC111589667",0,0,0,0
"LOC118472373",18,11,14,25
"LOC109943362",17,9,19,49
"LOC111590474",0,0,1,2
"LOC118472372",20,5,2,2
"LOC118472545",68,30,53,106
"LOC118472686",2,2,1,1
"LOC118472367",2,8,9,13
"LOC118472674",3,1,0,4
"LOC118472890",12,1,8,13
"LOC118472550",71,38,53,84
"LOC118472598",0,1,0,2
"LOC111589660",4,1,4,12
"LOC111589676",32,13,23,40
"LOC118472654",0,0,0,0
"LOC111589683",2,3,1,3
"LOC111589684",1,0,1,0
"LOC111589664",1,2,5,5
"LOC100192875",0,10,6,36
"LOC103629131",0,0,0,0
"LOC103629130",72,15,23,46
"LOC103629128",0,0,0,0
"LOC103629127",352,209,312,411
"LOC100193670",370,135,139,504
"LOC107436074",0,3,7,21
"LOC100381403",75,24,49,166
"LOC109940613",0,0,0,0
"LOC103629124",0,0,0,0
"LOC100282018",432,250,433,605
"LOC103629122",0,0,0,0
"LOC100277767",231,266,161,115
"LOC103629121",0,3,0,0
"LOC109940344",0,0,0,0
"LOC100281553",748,98,368,3069
"LOC103630909",1,9,2,0
"LOC100285022",1430,25,15,659
"LOC103630907",0,0,0,0
"LOC109940345",0,0,0,0
"LOC103629117",0,0,0,0
"LOC103629115",571,308,284,1139
"LOC100281578",419,248,326,552
"LOC100037819",47,53,68,88
"LOC103647670",0,0,0,0
"LOC109940337",0,0,0,0
"LOC109940361",0,0,0,0
"LOC103629111",149,119,50,48
"LOC114574122",0,0,0,0
"LOC109939308",0,3,0,0
"LOC114574121",0,0,0,0
"LOC103629109",0,0,0,0
"LOC103629107",0,0,4,0
"LOC118472167",9,3,8,7
"LOC103629105",37,18,33,62
"LOC118472289",0,3,8,2
"LOC100275340",646,212,1093,4057
"LOC103629136",13,10,75,50
"LOC100286199",599,246,160,798
"LOC103629140",0,0,0,0
"LOC103629139",0,0,0,0
"LOC103629141",0,0,0,0
"LOC103629142",0,2,0,0
"LOC100275794",40,7,7,2
"LOC100277036",335,94,103,304
"LOC103629144",6,0,0,0
"LOC100280032",166,99,98,202
"LOC103629145",11,0,83,193
"LOC100191658",0,8,0,0
"LOC109940304",0,0,0,0
"LOC103629146",0,0,0,0
"LOC103629147",0,0,0,0
"LOC111589633",0,0,0,0
"LOC111589636",0,0,0,0
"LOC111589634",0,0,0,0
"LOC103629149",0,0,0,0
"LOC100192530",896,472,831,283
"LOC103629151",0,0,0,0
"LOC541782",0,5,0,0
"LOC100275047",213,385,311,133
"LOC100282204",1025,190,418,1767
"LOC100304344",356,154,97,194
"LOC100278099",1040,135,206,1230
"LOC100282513",165,52,52,283
"LOC103630926",77,25,52,197
"LOC103629153",0,0,0,1
"LOC100275221",1,16,3,23
"LOC100274053",162,108,195,329
"LOC100275072",146,124,98,255
"LOC109940336",0,0,1,0
"LOC100275998",160,433,436,417
"LOC100191937",92,22,50,244
"LOC103629158",0,0,0,0
"LOC103630929",0,0,0,0
"LOC103629159",7,4,7,19
"LOC111589609",0,0,0,0
"TRNAM-CAU_27",0,0,0,0
"LOC103629160",25,38,4,1
"LOC100283852",68125,60204,68123,12110
"LOC541961",0,0,0,0
"LOC118472168",0,0,0,0
"LOC542700",18646,10268,15590,9479
"LOC103629162",0,0,0,0
"LOC103630931",0,0,0,0
"TRNAK-UUU_31",0,0,0,0
"LOC103629163",1923,621,1156,2421
"LOC103629164",4,7,1,16
"LOC103629165",0,0,0,0
"LOC542026",4718,533,787,4649
"LOC103629166",0,0,0,0
"LOC100192051",587,244,380,915
"LOC118472290",0,0,0,0
"LOC103630934",31,5,3,9
"LOC100277145",0,6,0,0
"LOC100275781",25029,20175,17173,6086
"LOC103629169",0,6,15,17
"LOC103629174",202,283,168,64
"LOC103630940",0,0,0,0
"LOC103629176",5,4,11,5
"LOC103629177",10,38,40,319
"LOC103629178",163,85,109,26
"TRNAC-GCA_12",0,0,0,0
"LOC109940243",30,16,6,19
"LOC103630943",0,0,0,1
"LOC103630944",0,0,0,0
"LOC103629180",97,185,260,91
"LOC100276845",28,13,20,108
"LOC100384382",2271,1081,2476,2624
"LOC100276972",696,197,445,925
"LOC100383157",698,19,45,422
"LOC100217040",3464,720,1772,7927
"LOC100285889",67,28,56,155
"LOC100281724",37,49,37,61
"LOC103629182",0,0,0,0
"LOC103629184",0,0,0,0
"LOC109940339",303,78,133,223
"LOC109940384",0,0,0,0
"LOC103630947",0,0,1,0
"LOC103629186",0,0,0,0
"LOC103629187",0,0,0,0
"LOC100275842",13,3,5,5
"LOC100381570",946,555,680,913
"LOC100279337",113,66,116,228
"LOC100274440",677,616,962,744
"LOC109940340",1111,969,1093,557
"LOC100502440",0,0,0,0
"LOC103630955",0,0,0,0
"LOC100279797",90,97,145,298
"LOC100282601",115,85,100,358
"TRNAN-GUU_11",0,0,0,0
"LOC100283632",519,163,214,513
"TRNAN-GUU_12",0,0,0,0
"LOC100279015",0,0,0,10
"LOC103629190",0,0,3,7
"LOC109940648",0,0,0,0
"LOC109940642",0,0,0,0
"LOC103630956",0,0,0,0
"LOC103630958",0,0,0,0
"LOC103629193",75,20,44,48
"LOC111589622",0,0,0,0
"LOC103629194",0,0,0,0
"LOC103629195",0,0,0,0
"LOC103629196",5951,4319,5065,6578
"LOC109940646",0,0,0,0
"LOC103629197",0,0,0,0
"LOC109940386",0,0,0,0
"LOC100383605",483,186,344,564
"LOC100284595",971,812,1134,1778
"LOC100192590",1376,673,761,1707
"LOC100191898",20,95,70,43
"LOC100193885",414,341,640,586
"LOC109940388",0,0,0,0
"LOC103629201",0,0,0,0
"LOC103630966",0,0,0,0
"LOC100127511",0,0,0,0
"LOC103629203",0,0,0,0
"LOC103643804",19,6,4,2
"LOC100278564",71,22,9,30
"LOC100273398",4615,2663,2053,652
"LOC100283877",24693,20696,17803,16504
"LOC103630969",0,0,0,0
"LOC109940318",9,0,0,0
"LOC103630970",0,0,0,0
"LOC103629206",0,0,0,0
"LOC118472171",0,0,17,258
"LOC100193414",1129,526,786,1530
"LOC100272956",1105,505,881,2073
"LOC100501607",4,34,28,34
"LOC103629209",0,0,0,0
"LOC107403076",0,1,0,0
"LOC103629210",0,0,1,9
"LOC100304441",0,0,13,662
"LOC100280618",0,0,0,0
"LOC100191141",0,0,0,0
"LOC109940351",0,0,0,0
"LOC100274518",14,8,0,6
"LOC100276296",0,0,0,0
"LOC100502041",99,89,18,35
"LOC103630975",0,0,0,0
"LOC103629211",1,0,0,0
"LOC103640546",0,0,0,0
"LOC100273639",0,0,1,0
"LOC100278003",19,16,22,0
"LOC103630979",774,354,1057,1028
"LOC103629212",1062,346,507,1251
"LOC103629213",0,0,0,0
"LOC100216810",400,232,466,606
"LOC100282909",507,201,505,926
"TRNAR-UCG_1",0,0,0,0
"LOC100193868",0,0,0,0
"LOC103629215",0,0,3,0
"LOC103629214",9,9,28,22
"LOC111589544",0,0,0,0
"LOC103629216",0,0,0,11
"LOC103629217",0,0,6,47
"LOC103630984",0,0,0,0
"LOC103630986",0,0,0,0
"LOC111589631",0,0,0,0
"LOC100275747",0,0,0,0
"LOC103629219",228,216,376,98
"LOC118472172",0,1,20,14
"LOC107403077",0,0,0,0
"LOC103646603",7,3,7,33
"LOC103630989",0,0,0,0
"LOC103629220",0,0,0,0
"LOC100304220",0,0,0,0
"LOC109940302",0,0,0,0
"LOC100276368",6,0,8,0
"LOC100381614",53,11,18,38
"dhar3",2011,767,1165,2870
"LOC103629221",0,0,0,0
"LOC542653",120,42,41,100
"LOC100281192",532,266,374,517
"LOC103629222",255,225,525,181
"LOC112081414",11,18,32,49
"LOC100280126",27,17,12,71
"LOC103629223",40,75,54,113
"LOC100272853",5585,1552,1339,3536
"LOC103629226",53718,5379,7161,57284
"LOC109940556",0,0,0,0
"LOC103629229",77,40,66,348
"LOC112694686",10,1,12,115
"LOC100284435",0,0,0,0
"LOC100286118",61,16,11,60
"LOC103629231",21,0,2,7
"LOC103629232",0,0,0,0
"LOC100501600",0,0,0,0
"LOC100216827",5485,3646,2329,1204
"LOC103631001",0,0,0,0
"LOC118472173",0,0,0,0
"LOC118472291",0,0,0,0
"LOC118472174",0,0,0,0
"LOC103629234",0,0,0,0
"LOC118472175",0,16,5,7
"LOC103631003",35,8,7,1
"LOC109940303",25,2,6,0
"LOC100274856",4888,1983,2364,7907
"LOC100192897",809,354,505,536
"LOC118472176",0,0,0,0
"LOC103629239",440,147,134,247
"LOC118472292",0,0,0,0
"LOC100191634",5083,4042,4546,4567
"LOC103631004",0,0,0,1
"LOC100278121",761,302,422,528
"LOC100193806",3,0,0,23
"LOC103629240",0,0,0,0
"LOC100279004",0,0,0,0
"LOC109940605",2,7,1,0
"LOC103629243",0,0,0,0
"LOC100281111",419,417,197,189
"LOC111589542",0,0,0,0
"LOC103629244",17,4,8,22
"LOC118472177",0,0,0,0
"LOC100193441",56,14,35,0
"LOC103629246",427,167,286,574
"LOC100382192",494,740,246,49
"LOC103631009",0,0,0,0
"LOC118472293",0,0,0,0
"LOC103631016",0,0,0,0
"LOC103629247",0,0,0,0
"LOC100501573",2012,1861,3333,3804
"LOC100382022",8,1,7,24
"LOC100282059",16948,3272,8007,14909
"LOC103629248",0,0,0,0
"LOC103629249",0,0,0,0
"TRNAM-CAU_28",170,29,56,16
"LOC100280901",24363,3398,9276,18157
"LOC100278827",358,723,817,435
"LOC103629252",27,71,20,23
"LOC100280773",110,63,134,128
"LOC100285427",10,2,18,0
"LOC100282927",312,168,211,628
"LOC103631022",30,12,12,9
"LOC103631021",23,4,19,0
"LOC103629255",0,2,19,0
"LOC100279032",0,0,0,0
"LOC103629256",0,0,0,0
"LOC107546767",38,105,86,63
"LOC100384506",511,142,275,1064
"LOC100286271",0,0,0,0
"LOC100286333",0,0,3,0
"LOC103629258",0,38,0,0
"LOC100282452",0,43,2,0
"LOC100280933",14,493,302,836
"LOC100283433",0,10,12,76
"LOC111589519",0,0,2,14
"LOC118472178",0,0,0,0
"LOC100281631",66,37,142,192
"LOC103629262",274,176,145,380
"LOC100273084",944,481,701,1152
"LOC103629263",1,0,0,152
"LOC100216699",1,11,11,99
"LOC100284263",510,699,1043,1120
"TRNAA-UGC_9",0,0,0,0
"LOC541640",10,2,0,14
"LOC100216676",202,108,112,249
"LOC103643275",0,0,0,0
"LOC118472179",0,0,0,0
"LOC103629265",0,0,0,0
"LOC100283904",1465,757,1005,2038
"LOC103629266",0,0,0,0
"LOC103629267",0,0,0,0
"LOC103629268",0,0,0,0
"LOC103631028",3,4,4,1
"LOC100283502",4,20,36,0
"LOC103629270",32,21,8,21
"LOC103631031",0,0,18,35
"LOC103629272",0,0,193,254
"TRNAK-CUU_29",0,0,0,0
"LOC103629273",0,0,0,0
"LOC100192030",897,256,527,1389
"LOC103629274",0,0,0,0
"LOC103631033",0,0,0,0
"LOC103629275",2053,1777,1878,2363
"LOC100285325",42,34,51,71
"LOC103629276",1071,720,589,1080
"LOC100381412",60,45,35,228
"LOC103629277",0,0,0,0
"LOC103629278",1074,606,932,893
"TRNAC-GCA_13",0,0,0,0
"TRNAL-UAG_3",0,0,0,0
"LOC111589543",0,0,0,0
"LOC118472180",0,0,0,0
"LOC118472181",0,0,1,0
"LOC100191776",1074,458,717,1214
"LOC100274052",1675,3871,4071,3859
"LOC103629283",0,0,0,0
"LOC103629284",0,0,0,0
"LOC103629287",294,59,61,297
"LOC118472182",0,0,0,0
"LOC103631041",0,0,0,0
"LOC103629289",1963,1332,1844,2648
"LOC103629292",0,0,0,0
"LOC100278534",259,243,294,333
"LOC100282870",178,107,142,561
"LOC100272886",365,166,282,459
"LOC100280839",0,1,0,24
"LOC103629295",0,0,0,0
"LOC103629296",0,0,1,12
"LOC103629298",396,127,198,448
"LOC100382909",119,36,91,39
"LOC100275315",193,431,438,317
"bz15",21,4,37,18
"LOC103629299",2172,5348,8517,3957
"LOC100284928",1205,858,603,1152
"LOC103629300",0,0,0,0
"LOC100383420",390,155,153,431
"LOC109940631",0,0,0,0
"LOC100384551",0,15,1,10
"LOC100276945",68,35,17,82
"LOC103629301",1,10,2,2
"LOC103629302",0,0,0,0
"LOC100191288",39,214,54,13
"LOC103629303",0,0,0,0
"LOC100274605",1147,340,393,815
"LOC113830627",0,0,0,0
"LOC109940330",16,1,2,0
"LOC100282993",2898,1261,2343,3941
"LOC103629308",455,378,437,525
"LOC103629309",265,237,185,258
"LOC103629310",596,1514,1024,233
"LOC103629312",22,6,5,18
"LOC103629313",0,0,0,0
"LOC103629314",0,0,0,0
"LOC100282131",1102,123,175,436
"LOC103629316",0,0,0,0
"LOC118472183",22,34,55,148
"LOC100279212",273,98,404,434
"LOC100283934",0,0,0,21
"LOC103629322",0,0,0,0
"LOC103629323",6,3,18,43
"LOC103629324",0,0,0,0
"LOC100383906",207,59,272,648
"LOC100280512",490,317,778,700
"LOC118472184",0,0,0,0
"LOC103629328",0,0,0,0
"LOC103629329",1,0,0,0
"LOC100278027",4,0,0,18
"LOC103629330",0,0,0,0
"LOC103631054",0,0,0,0
"LOC103655488",0,0,0,0
"LOC103643094",679,427,1343,2786
"LOC100194056",240,128,156,455
"LOC542192",4528,2930,4552,5228
"LOC118472185",0,0,0,0
"LOC100285993",357,162,352,864
"LOC103631055",0,0,0,13
"LOC100192982",0,0,14,7
"LOC103629333",1311,380,790,2099
"LOC109940410",0,0,0,0
"LOC103629334",0,0,0,0
"LOC103629335",55,32,24,131
"LOC118472187",0,0,0,0
"LOC118472186",0,0,0,0
"LOC103631060",0,0,0,0
"LOC109940127",0,0,0,4
"LOC109940128",18,0,0,16
"LOC118472188",81,3,10,458
"LOC103629337",0,0,0,0
"LOC103629338",0,0,0,0
"LOC100275743",316,89,156,334
"LOC103629341",0,0,0,0
"LOC100285966",0,1,0,0
"LOC103629344",2,0,0,0
"LOC118472294",0,2,0,0
"TRNAT-UGU_14",0,0,0,0
"LOC100280595",52,26,34,54
"LOC100501270",23,6,11,0
"LOC100191921",993,469,615,1214
"LOC118472295",0,0,0,0
"LOC109940133",0,0,0,0
"LOC109940412",0,2,7,0
"LOC100381967",0,0,0,0
"LOC101027254",0,59,84,32
"LOC111589694",0,0,0,0
"LOC103629352",0,0,0,0
"LOC103631067",0,0,0,0
"LOC118472189",74,1,4,33
"LOC100191775",78,11,60,542
"LOC103629355",0,0,0,0
"LOC103629356",24407,32900,44594,36304
"LOC100191790",121,83,315,685
"LOC100381857",569,288,338,459
"LOC103629360",59,108,115,356
"LOC103629361",2448,925,1340,3095
"LOC103629362",0,0,0,0
"LOC100277154",19,4,20,40
"LOC100283737",122,50,86,244
"LOC100284588",183,147,189,296
"LOC103629365",5,2,5,4
"LOC103629364",478,670,2069,3331
"LOC118472190",0,0,0,0
"LOC100281416",114,52,75,203
"LOC100383232",1455,1491,2241,2206
"LOC100284678",14,13,5,43
"LOC103629366",11,21,108,44
"LOC109939231",0,0,0,0
"LOC103629369",201,181,151,219
"LOC103629370",0,0,0,0
"LOC100383190",1490,954,1367,2119
"LOC103631074",0,0,0,0
"LOC103629371",3,0,0,0
"LOC100381681",35,32,37,89
"LOC100284797",1548,30,243,2345
"LOC100284304",557,322,1407,755
"LOC103631075",0,0,0,0
"LOC100275734",0,1,4,4
"LOC103631077",0,0,0,0
"LOC100272976",468,796,799,182
"LOC118472296",0,0,0,1
"LOC111589551",0,0,0,4
"LOC111589574",0,0,0,0
"LOC100279295",7,0,0,0
"LOC100283485",1702,834,935,2152
"LOC100281735",2470,598,450,236
"TRNAD-GUC_12",0,1,0,0
"LOC103629377",0,0,0,0
"LOC103631080",0,0,0,0
"LOC103629378",0,0,0,0
"TRNAD-GUC_13",0,0,0,0
"LOC100193283",192,58,55,120
"LOC100193386",45,30,60,103
"LOC114574132",88,43,83,221
"LOC541700",4605,3730,2858,3952
"LOC100272751",2507,2139,3701,3554
"LOC109940150",0,0,0,0
"LOC111589572",0,0,1,0
"LOC103629381",0,1,1,0
"LOC103629382",1663,1396,2318,1884
"LOC100277773",30,26,32,60
"LOC103629384",1263,1967,2861,2381
"TRNAD-GUC_14",0,0,0,0
"LOC118472191",0,0,0,0
"TRNAH-GUG_6",0,0,0,0
"TRNAD-GUC_15",0,0,0,0
"LOC100274632",0,0,0,0
"TRNAH-GUG_7",19,0,0,0
"LOC100276590",204,80,136,237
"LOC100284990",2435,1118,1167,2248
"LOC103631082",63,30,32,123
"LOC103629388",72,66,71,265
"LOC118472297",0,0,0,0
"LOC103629391",356,132,756,490
"LOC118472192",0,0,0,0
"LOC103629392",27,15,18,13
"LOC100278717",8,2,0,0
"LOC100274101",3571,2567,2505,4276
"LOC100125644",24,10,2,42
"LOC109940152",0,0,0,0
"LOC103629394",0,0,154,93
"LOC100384563",1542,1440,1052,1172
"LOC100383758",214,88,178,315
"LOC103629395",532,345,340,815
"LOC103629396",0,0,0,0
"LOC100282679",845,414,552,1154
"LOC100274906",7,10,9,5
"LOC103629400",4,5,0,0
"LOC100272818",0,1,0,0
"LOC109939246",0,0,0,0
"LOC100275711",0,0,0,0
"LOC100216968",0,0,0,0
"LOC100277842",0,0,0,0
"LOC100282498",201,157,189,118
"LOC100502315",1659,966,1536,2372
"LOC103629406",3,11,21,0
"LOC103629410",8,0,18,32
"LOC100273040",0,0,0,2
"LOC103629408",3,7,5,0
"LOC109940153",0,0,0,0
"LOC109940431",0,0,0,0
"LOC103629413",0,0,0,0
"LOC100281106",10,39,61,39
"LOC109940154",0,0,0,0
"LOC118472193",0,0,0,0
"LOC109940432",2,1,0,0
"LOC100192700",1934,413,719,2802
"LOC103629414",0,0,0,0
"LOC100384479",719,652,254,158
"LOC100193512",262,127,174,384
"LOC100533154",78,17,6,35
"LOC542521",355,313,482,410
"LOC100383021",766,868,1844,836
"LOC100191580",2492,2594,2837,3017
"LOC103629418",0,0,0,0
"LOC107275242",108,713,185,605
"LOC103629419",232,515,344,85
"LOC100275277",487,375,378,720
"LOC103629421",0,0,0,0
"LOC100501338",878,489,741,1775
"LOC103629422",0,0,1,0
"LOC100277539",0,0,0,0
"LOC100273436",30,26,20,96
"LOC100282958",499,294,490,596
"LOC100501804",258,90,116,482
"LOC103629424",0,0,3,0
"LOC100277170",0,2,0,0
"LOC732740",1550,1288,1284,2313
"LOC100381373",86,64,57,101
"LOC100194139",2394,1045,2098,3116
"LOC109940156",0,0,0,0
"LOC103649298",0,0,0,0
"LOC109940311",0,0,0,0
"LOC111589523",0,0,0,0
"LOC111589553",0,0,0,0
"LOC100283074",17,20,26,56
"LOC103629429",20,6,158,0
"LOC100273426",1082,2667,2855,1719
"LOC103629430",32,13,27,13
"LOC118472194",0,0,0,0
"LOC100216944",0,0,0,0
"LOC103629431",0,0,0,0
"LOC100272987",155,141,322,334
"LOC109940177",0,0,0,0
"LOC103629433",0,3,0,0
"LOC103629435",0,0,0,4
"LOC103629436",0,7,0,0
"LOC100191518",1102,1151,3222,2825
"LOC100284762",1876,1104,1010,1937
"LOC103629437",90,50,39,147
"LOC100193506",536,267,339,1218
"LOC109940312",0,0,0,0
"LOC103629438",127,20,17,179
"LOC103629439",30,3,0,8
"LOC103629440",0,0,0,0
"LOC103631109",0,0,0,0
"LOC103629444",0,0,0,0
"LOC103629445",0,0,0,0
"LOC100192869",986,639,558,939
"TRNAW-CCA_18",0,0,0,0
"LOC111589548",0,0,0,0
"LOC109940439",0,2,4,0
"LOC100533147",97,46,38,89
"LOC109940158",0,0,0,0
"LOC100502229",49,20,29,113
"LOC100274412",145,79,47,116
"LOC100276666",139,43,61,147
"LOC100282395",96,80,77,108
"LOC103631112",6,9,3,18
"LOC118472195",0,1,0,0
"LOC103629449",0,0,0,0
"LOC103629450",0,0,0,0
"LOC100501407",140,210,290,150
"LOC100282677",431,262,357,546
"LOC100191869",329,170,247,364
"LOC103629454",0,0,0,0
"LOC109940160",0,0,0,0
"LOC124489739",0,0,0,0
"LOC103629456",707,101,27,48
"LOC103631117",0,0,0,0
"LOC103629460",0,17,12,5
"LOC100277923",56,57,61,109
"LOC100284564",64,60,46,39
"LOC100191806",1009,730,988,1489
"TRNAC-GCA_14",0,0,0,0
"LOC100282206",861,482,705,1161
"LOC100284930",0,0,0,0
"LOC103629463",35,0,0,0
"LOC103629464",0,0,0,0
"LOC103629465",0,0,0,0
"LOC100194353",0,7,36,285
"LOC103629467",1256,951,375,216
"LOC100272328",1196,986,1120,1685
"LOC100279040",0,0,0,0
"LOC109940316",0,0,0,0
"LOC103629468",0,0,0,0
"LOC109940444",0,0,79,23
"LOC100384449",249,85,117,250
"LOC541646",100,269,534,266
"LOC100275203",1039,385,320,662
"LOC109940445",0,0,0,0
"LOC100283590",1721,1391,1829,738
"LOC109940317",29,24,13,9
"LOC100384554",0,0,0,0
"LOC103629472",34,16,1,0
"LOC100282850",116,38,131,278
"WHY1",228,452,625,523
"LOC109940323",0,0,0,0
"LOC103629474",16,7,14,5
"LOC103629473",11,22,26,90
"LOC100282617",3249,1657,1836,3605
"LOC100272970",49,51,39,66
"TRNAG-GCC_17",0,0,0,0
"TRNAG-GCC_18",0,0,0,0
"TRNAG-GCC_19",0,0,0,0
"TRNAG-GCC_20",0,0,0,0
"LOC100284055",0,0,0,0
"LOC103631128",0,0,0,0
"TRNAG-GCC_21",0,0,0,0
"LOC100216577",1146,662,623,626
"LOC103631129",15,0,3,23
"LOC100277062",0,0,0,0
"LOC114711029",21,5,120,73
"LOC103629477",85,239,889,1487
"LOC103629478",0,0,0,0
"LOC103631131",0,0,0,0
"LOC103629479",0,0,0,0
"LOC103629480",0,0,0,1
"LOC100501490",0,0,0,0
"LOC100272736",0,31,3,0
"LOC103629481",0,0,0,0
"LOC100304003",227,113,153,223
"LOC100501318",35,12,8,2
"LOC100216797",46,53,34,74
"LOC118472196",0,0,0,0
"LOC100384790",56,16,67,90
"LOC103629483",0,0,0,0
"LOC103629484",0,0,0,0
"LOC111589718",0,0,0,0
"LOC103631139",0,0,0,0
"LOC103631140",0,0,0,0
"LOC100283133",66,28,52,144
