"","c1","c2","m1","m2"
"LOC100193951",789,778,799,1622
"LOC100382705",259,530,512,561
"LOC100274307",939,756,1127,741
"LOC103631665",615,1006,1281,1193
"LOC100273485",1061,938,1113,1199
"LOC100191592",40040,4719,38,65
"LOC100281825",9159,1297,35,109
"LOC100273170",200,87,234,153
"LOC111590646",0,0,0,0
"LOC103631671",0,3,1,0
"LOC103644404",0,0,2,0
"LOC100501100",1324,196,98,687
"LOC109942739",0,0,0,0
"LOC100384051",4262,3928,3360,2638
"LOC100383521",50,57,76,61
"LOC118473309",0,0,0,0
"LOC103631673",400,283,292,531
"LOC100279840",1490,862,16,0
"LOC103631675",0,0,0,0
"LOC541829",4,5,0,0
"LOC541830",3,0,0,0
"LOC100282447",3,14,4,0
"LOC541828",162,275,765,791
"LOC103631676",0,0,0,0
"TRNAK-CUU",0,0,0,0
"LOC115032970",0,0,0,0
"MIR171e",0,0,0,0
"LOC100382432",221,190,196,221
"LOC100283423",50,17,2,5
"LOC103631678",0,0,8,0
"LOC100192647",627,297,547,438
"pht10",0,0,0,0
"LOC100276150",195,92,81,199
"LOC103644405",0,0,0,0
"LOC103631679",0,0,0,0
"LOC109939337",0,0,0,0
"LOC109939171",1,0,2,3
"LOC103631682",41,10,6,46
"LOC100284067",275,128,254,522
"LOC541842",839,503,44,219
"LOC100304277",3165,2609,3513,4042
"TRNAC-GCA",0,0,0,0
"TRNAY-GUA",0,0,0,0
"TRNAT-GGU",0,0,0,0
"LOC103631683",0,0,0,0
"LOC109943585",0,0,0,0
"LOC103644408",106,191,377,215
"LOC103644409",0,0,0,0
"LOC100382150",461,279,330,507
"LOC100286089",314,444,320,501
"LOC103631685",253,297,182,272
"LOC100275476",1561,851,1256,3114
"LOC103631680",905,225,535,1114
"LOC103631686",0,0,0,0
"LOC100281372",478,242,381,596
"LOC100277382",124,1297,822,46
"LOC103631689",31,56,151,46
"LOC109943586",0,0,0,0
"LOC103631690",2,0,0,0
"LOC103644413",0,0,0,0
"LOC100286202",90,98,77,89
"LOC100381940",0,0,0,0
"LOC100278549",349,193,183,342
"LOC103631692",0,2,0,0
"LOC103631691",0,2,15,0
"LOC109943588",0,0,0,0
"LOC103644415",0,0,0,0
"LOC100281595",77,59,145,344
"LOC100193874",664,438,953,604
"LOC100278544",3799,4410,5613,1928
"LOC100275508",37,170,213,200
"LOC103631693",0,0,34,6
"LOC103631694",0,10,1,0
"LOC100273577",1,32,37,0
"LOC103631695",0,0,1,0
"LOC100383095",126,32,131,129
"LOC107521955",5,15,41,104
"LOC100281446",14,1,3,1
"LOC103631696",31,3,5,24
"LOC100383320",1225,723,1229,1475
"LOC100277637",787,1126,1664,729
"LOC103631697",0,0,0,5
"LOC100192783",219,42,180,189
"LOC100281767",3174,2900,3647,1964
"LOC111590577",0,0,0,0
"LOC103631699",74,62,153,71
"LOC103631700",123,75,77,94
"LOC103631701",0,0,0,0
"LOC100278579",2100,811,1215,3842
"LOC100125659",2012,3110,4369,2661
"LOC103631702",8,7,22,13
"LOC100272349",400,241,260,361
"LOC103631703",25,9,28,14
"LOC103631704",0,0,0,0
"LOC100272791",415,806,1296,2107
"LOC100502300",209,159,135,240
"LOC103644420",18,0,0,30
"LOC118471899",0,1,5,0
"LOC103631706",11,3,25,17
"LOC103631709",0,8,0,0
"LOC103649427",0,0,0,0
"LOC103649430",0,0,0,0
"LOC103631710",0,0,0,0
"LOC103631711",0,0,0,0
"LOC118471934",379,657,410,21
"LOC103631713",3,6,0,0
"LOC100383031",54,28,44,112
"LOC103644422",0,0,0,0
"LOC100286066",321,116,84,612
"LOC100192089",4,187,138,433
"TRNAM-CAU",0,0,0,0
"LOC103644423",0,0,0,0
"LOC541675",4723,3871,7138,17845
"LOC118473368",0,0,0,9
"LOC109943590",0,0,0,0
"LOC100282062",49,27,17,46
"LOC103631716",871,265,520,2221
"LOC118473373",7,3,2,8
"LOC100275482",655,1105,1236,950
"LOC103644424",3,0,0,1
"LOC100278110",9,27,30,9
"LOC103644425",1930,1103,1710,1906
"TRNAG-GCC",0,0,0,0
"LOC100285151",3967,4169,7233,3810
"LOC109942741",629,364,699,1070
"LOC103631723",74,36,49,117
"LOC100216943",5,1,0,0
"LOC100274752",0,0,0,0
"LOC100857003",417,171,217,327
"LOC100285445",966,353,270,671
"LOC103631724",5,8,6,57
"LOC100125645",0,0,0,0
"LOC100101548",0,0,0,0
"LOC100280583",143,30,44,252
"LOC100274152",0,5,14,70
"LOC118473379",0,0,0,0
"LOC100274432",70,5,28,108
"LOC100273252",8,35,20,0
"LOC103631726",45,124,142,16
"LOC103631727",0,7,3,0
"LOC100283546",488,214,223,484
"LOC109943592",0,0,0,0
"LOC118473382",0,3,4,0
"LOC103631728",1,0,0,1
"LOC100191875",1401,2676,3852,2502
"LOC103631729",135,37,112,141
"LOC103631730",0,0,0,0
"LOC103631732",0,0,0,0
"LOC100277440",310,241,447,572
"pht9",0,0,0,0
"LOC100285683",1153,795,839,1442
"LOC103644430",0,0,0,0
"LOC100275826",0,10,3,0
"LOC100216560",28,7,7,335
"LOC100501489",114,24,65,164
"LOC100278319",1319,415,1137,4431
"LOC100284705",552,1553,890,200
"LOC100283679",213,77,163,186
"LOC103631733",145,24,27,15
"LOC100191850",1020,718,1632,2016
"LOC100285657",364,358,584,794
"LOC103631734",12,18,42,29
"LOC103631735",0,0,0,0
"LOC103631736",0,0,9,2
"LOC103631737",576,374,287,504
"LOC103631738",58,42,49,11
"LOC100193940",331,216,192,374
"CNR13",293,561,554,423
"LOC100216600",2041,4185,2542,1118
"LOC103631739",0,1,0,0
"LOC100384536",2370,1564,2609,4455
"LOC100284817",1109,398,414,1302
"LOC100193503",791,553,779,791
"LOC100216780",2158,4881,5134,2684
"LOC109940740",0,0,8,13
"TRNAL-CAA",0,2,7,0
"LOC100383598",12725,3374,8125,18321
"LOC100501587",58,19,46,219
"LOC100193907",2021,590,616,1307
"LOC103644434",0,0,0,0
"LOC103631741",0,0,3,0
"LOC103631743",47,2,43,39
"LOC103631742",87,16,154,56
"LOC100274542",0,0,0,0
"LOC103631744",1551,1025,1121,930
"LOC100275123",0,0,0,0
"LOC103631745",0,0,0,0
"LOC100279067",6,6,0,0
"LOC103631746",13,29,14,19
"sfp4",5482,1640,830,1956
"LOC109942742",106,51,112,168
"LOC100273937",185,118,174,170
"LOC100281152",186,150,81,120
"LOC118473398",0,0,0,0
"LOC118473399",0,0,0,0
"LOC100216585",10251,2773,3349,8621
"LOC100280131",374,443,418,263
"LOC103631750",60,14,41,62
"LOC111590736",0,0,0,0
"LOC111590668",0,3,17,1
"LOC115032968",0,0,3,9
"MIR167j",0,0,0,0
"LOC103631751",0,0,0,0
"LOC100273753",0,2,0,0
"LOC109943593",0,0,0,0
"LOC100284467",0,209,98,1
"LOC103631752",20,10,9,0
"LOC103631753",54,23,56,47
"LOC103631754",1837,1943,3262,1996
"LOC541986",1112,1202,1570,2038
"LOC109943594",0,0,0,0
"LOC103631755",0,0,0,0
"LOC109943595",0,0,0,0
"LOC103631757",0,0,0,0
"LOC111590578",0,0,0,0
"LOC100217076",1121,601,1004,1741
"LOC100279920",22,1,10,16
"LOC100192801",381,175,421,751
"LOC103644445",0,0,0,0
"LOC103644446",0,0,0,0
"LOC103631760",0,0,0,0
"LOC115032966",1,0,0,0
"MIR166g",0,0,0,0
"LOC103631761",131,55,61,111
"LOC100273582",23,13,23,37
"LOC100280342",694,600,517,832
"LOC100382452",163,237,225,467
"LOC100194295",159,47,53,151
"LOC100274180",1207,554,899,1838
"LOC103631763",0,0,0,0
"LOC103631764",0,1,2,0
"LOC100284905",8,4,16,0
"LOC109942743",2,5,2,0
"LOC111590682",7,17,6,1
"LOC103631765",7,9,25,0
"LOC100280629",549,139,246,380
"LOC100194231",26,8,19,6
"LOC100280715",71,77,99,118
"LOC103631766",6,10,18,37
"LOC107548105",10,26,489,26
"LOC542448",0,0,0,0
"LOC100037781",0,0,0,0
"LOC109943596",0,0,0,0
"LOC100284142",1,1,2,4
"LOC100282834",632,410,549,1126
"LOC100281098",31,18,13,44
"LOC100283639",0,0,1,165
"LOC100280355",522,369,334,543
"LOC103631768",180,111,187,284
"LOC100191749",56,127,68,29
"LOC100191692",0,0,0,0
"LOC100282289",182,74,205,365
"LOC100274365",13330,19057,25618,23710
"LOC103631769",350,144,154,338
"LOC118473051",0,0,0,0
"LOC103631771",8,0,4,0
"LOC103631773",84,39,126,248
"LOC103631772",129,76,52,177
"LOC100193013",3511,1757,2505,1445
"LOC100382155",157,103,133,439
"LOC100193223",314,142,221,449
"LOC100277737",581,727,1157,1319
"LOC100274922",2996,2401,2891,1507
"LOC100283939",94,47,26,7
"LOC100501215",426,111,57,22
"LOC541615",76123,8832,6583,9349
"LOC100276391",29,0,0,40
"LOC103631776",0,0,0,0
"LOC103631777",6,0,0,0
"LOC100282269",5856,3558,4295,4993
"LOC100283388",16,79,35,8
"LOC103631778",2269,941,1234,2299
"LOC100275106",0,0,0,0
"LOC100285496",0,1,0,0
"LOC103631779",48,127,143,51
"LOC103631780",0,0,0,0
"LOC103631781",5,17,56,8
"LOC100285821",591,428,555,1020
"LOC100304387",55,45,18,25
"LOC542334",1765,505,843,1008
"LOC100192515",413,181,371,636
"LOC100277856",17,41,79,0
"LOC103644451",0,0,0,0
"LOC100194365",164,62,95,149
"LOC100384216",54,14,31,193
"LOC100280276",627,411,522,781
"LOC103631783",0,3,16,21
"LOC118473458",18,10,26,5
"LOC100277616",31,336,263,56
"LOC109942745",0,0,0,0
"LOC111590718",0,0,0,0
"LOC103631785",0,0,0,0
"LOC103631786",214,370,354,229
"LOC100193685",95,53,67,189
"LOC109942746",424,29,82,591
"LOC103631787",58,35,23,37
"LOC100383364",2792,3315,2800,1885
"LOC100284403",386,838,945,464
"ct2",62,96,104,192
"LOC109942747",0,0,0,0
"LOC100286062",121,84,47,51
"LOC100284273",41,14,4,15
"LOC109943598",0,0,0,0
"LOC103631789",280,204,129,136
"lox9",699,483,302,671
"LOC100274583",299,37,30,139
"LOC100279000",1416,1277,1436,1910
"LOC542021",1670,768,934,1863
"LOC103631791",0,0,0,0
"LOC109942748",0,0,0,0
"LOC109939343",0,4,2,0
"LOC100284778",114,827,622,44
"LOC100281912",2481,6279,1909,446
"LOC100283151",3043,5796,2827,2197
"LOC100275356",9,1,7,58
"LOC100283031",712,1837,1952,614
"LOC103631794",172,292,270,210
"LOC103631795",0,7,0,7
"LOC103631797",0,0,0,0
"LOC100383869",1185,534,660,835
"LOC103631799",4,7,20,87
"LOC100273257",3,0,0,0
"LOC100272941",787,546,726,637
"LOC100194334",305,70,184,251
"LOC100216626",0,3,2,0
"LOC103631803",0,0,0,0
"LOC100192457",1653,422,387,576
"LOC103631805",0,0,0,0
"LOC111590580",0,0,0,0
"LOC103631807",0,0,0,0
"LOC100502296",32,12,25,73
"LOC100281138",4832,5597,4970,2871
"LOC103631808",0,0,0,0
"LOC109942749",0,1,0,0
"LOC103650390",0,0,0,0
"LOC103631809",27,108,3,96
"LOC103631810",7,15,28,10
"LOC541658",1801,2598,3291,2972
"LOC103631811",17,33,39,0
"LOC542329",3103,2369,3904,6759
"LOC100274071",1304,165,845,1480
"LOC103631813",130,61,282,431
"LOC100191941",1798,3219,2855,1965
"LOC100192994",0,20,29,3
"LOC100272889",161,102,123,198
"LOC109940762",0,4,1,0
"LOC111590738",2,29,28,18
"LOC100502400",704,248,425,597
"LOC100276776",39,127,149,159
"LOC103631816",234,422,15,22
"LOC103631817",35,599,57,11
"LOC100383097",6,144,0,7
"LOC100285936",51,372,88,0
"LOC100192907",117,209,237,185
"LOC103644459",2,0,0,0
"LOC103631819",355,126,73,129
"LOC542034",92,166,57,0
"LOC103631820",0,0,0,0
"TRNAA-AGC",0,0,0,0
"LOC100284677",516,390,455,729
"LOC103631821",31,16,17,56
"LOC100192462",0,0,5,30
"LOC100304379",722,310,331,633
"LOC100278469",8,4,12,40
"LOC103644460",0,0,0,1
"LOC103631822",602,341,652,1422
"LOC103631823",0,0,0,15
"LOC103631824",1009,509,762,1082
"LOC103631826",0,0,0,0
"LOC111590711",0,0,0,0
